#起始日期：2016-02-29  终止日期：2016-02-29
#交易金额合计：8笔，共712.00元
#下载时间：2016-02-29 14:56:19

退款申请时间	微信退款单号	商户退款单号	退款状态	退款成功时间	退款金额(元)	现金券退款金额(元)	微信支付单号	商户订单号	商户号	子商户号	交易金额(元)	appid	下单用户	退款入账账户	退款方式	
2016-02-29 14:38:13	`2005460438201602290165855710	`110309662016022735829760801456727893	"退款成功"	2016-02-29 14:53:20	38.00	0.00	`1005460438201602273582976080	`E2016022722005746672	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs5ADS0fts6K-ld6HAowmjzo		原路退回
2016-02-28 11:27:59	`2000910438201602280164796468	`110309662016022535238930981456630079	"退款成功"	2016-02-28 11:39:20	114.00	0.00	`1000910438201602253523893098	`E2016022516393888270	1296288001		114.00	wxa9e5e7de9a850cea	odyFWs6jQKnhYwypV-ehO4o7rJA4		原路退回
2016-02-28 11:27:34	`2000910438201602280164798430	`110309662016022535239154831456630054	"退款成功"	2016-02-28 11:39:20	152.00	0.00	`1000910438201602253523915483	`E2016022516415131447	1296288001		152.00	wxa9e5e7de9a850cea	odyFWs6jQKnhYwypV-ehO4o7rJA4		原路退回
2016-02-26 08:44:37	`2007750438201602260162890088	`110309662016022435098305461456447476	"退款成功"	2016-02-26 08:53:23	38.00	0.00	`1007750438201602243509830546	`E2016022422015166126	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs41rvyCjdLjKs15_YF4dyL0		原路退回
2016-02-26 08:43:57	`2010030438201602260162892242	`110309662016022334790942151456447437	"退款成功"	2016-02-26 08:53:25	76.00	0.00	`1010030438201602233479094215	`E2016022317271438137	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs-GPD6T-5VNpsMjH3WTL6YQ		原路退回
2016-02-25 11:16:12	`2000760438201602250161930077	`110309662016012829635972071456370172	"退款成功"	2016-02-25 11:26:26	98.00	0.00	`1000760438201601282963597207	`E2016012823132863277	1296288001		98.00	wxa9e5e7de9a850cea	odyFWs62iVA_v9yXuZtU9dD8Cl1A		原路退回
2016-02-25 11:11:20	`2007910438201602250161957823	`110309662016022434968000621456369880	"退款成功"	2016-02-25 11:27:04	98.00	0.00	`1007910438201602243496800062	`E2016022412081007429	1296288001		98.00	wxa9e5e7de9a850cea	odyFWs74KjgxzymAg1XsCiArYLsw		原路退回
2016-02-23 19:11:46	`2006430438201602230160344457	`110309662016020931785744741456225906	"退款成功"	2016-02-25 22:48:37	98.00	0.00	`1006430438201602093178574474	`E2016020923355275292	1296288001		98.00	wxa9e5e7de9a850cea	odyFWs6fwEUwA7vAN_MG66v51P8U		原路退回
