#起始日期：2016-01-30  终止日期：2016-01-30
#交易金额合计：157笔，共10620.00元
#下载时间：2016-01-30 17:02:07

退款申请时间	微信退款单号	商户退款单号	退款状态	退款成功时间	退款金额(元)	现金券退款金额(元)	微信支付单号	商户订单号	商户号	子商户号	交易金额(元)	appid	下单用户	退款入账账户	退款方式	
2016-01-28 19:39:51	`2001770438201601280139458223	`110309662016012328618772511453981191	"退款成功"	2016-01-28 19:53:10	38.00	0.00	`1001770438201601232861877251	`E2016012318545571147	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9hzumdgISK34ACuDKHfWgM		原路退回
2016-01-28 19:39:31	`2003600438201601280139458218	`110309662016012328617269461453981171	"退款成功"	2016-01-28 19:55:13	38.00	0.00	`1003600438201601232861726946	`E2016012318475198330	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9reUkzgO59XJPIXOmQc3qY		原路退回
2016-01-28 19:39:09	`2002660438201601280139461420	`110309662016012328602999961453981149	"退款成功"	2016-01-28 19:53:04	38.00	0.00	`1002660438201601232860299996	`E2016012317384820459	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9EAEA4jOK7HiNY4sbnpdXM		原路退回
2016-01-28 19:38:46	`2001070438201601280139448686	`110309662016012328602053421453981126	"退款成功"	2016-01-28 19:52:36	38.00	0.00	`1001070438201601232860205342	`E2016012317333481701	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsyVczxPrsdllLcU177RmRkY		原路退回
2016-01-28 19:38:22	`2004300438201601280139445989	`110309662016012328600904071453981102	"退款成功"	2016-01-28 19:53:47	114.00	0.00	`1004300438201601232860090407	`E2016012317273277875	1296288001		114.00	wxa9e5e7de9a850cea	odyFWsx0YtIr886JBjC39jp5Mepk		原路退回
2016-01-28 19:38:00	`2002500438201601280139448680	`110309662016012328599380751453981080	"退款成功"	2016-01-28 19:53:00	38.00	0.00	`1002500438201601232859938075	`E2016012317202926747	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsx-KrHYCmV_AausfK5d7kaw		原路退回
2016-01-28 19:37:40	`2006660438201601280139460422	`110309662016012328590063141453981060	"退款成功"	2016-01-28 19:54:42	38.00	0.00	`1006660438201601232859006314	`E2016012316312680617	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9Qvd8Xf8dA_XwYoVia-6Kw		原路退回
2016-01-28 19:37:18	`2009170438201601280139448109	`110309662016012328587676951453981038	"退款成功"	2016-01-28 19:57:13	38.00	0.00	`1009170438201601232858767695	`E2016012316181165750	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs7PyATP20G_Mw4NLanfLryU		原路退回
2016-01-28 19:36:52	`2006520438201601280139439997	`110309662016012328580611221453981012	"退款成功"	2016-01-28 19:56:46	76.00	0.00	`1006520438201601232858061122	`E2016012315382011611	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs4jvOt8jqyvFqydE6YDlDpA		原路退回
2016-01-28 19:36:27	`2009960438201601280139457413	`110309662016012328579348281453980987	"退款成功"	2016-01-28 19:59:11	38.00	0.00	`1009960438201601232857934828	`E2016012315304236466	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsytJeXzDY8k9mqPDmipUNY0		原路退回
2016-01-28 14:34:01	`2008290438201601280139180701	`110309662016012829446409571453962841	"退款成功"	2016-01-28 14:59:10	130.00	0.00	`1008290438201601282944640957	`E2016012805534727962	1296288001		130.00	wxa9e5e7de9a850cea	odyFWsxnL1emBWS_ipY5SwnEOdmU		原路退回
2016-01-28 11:19:49	`2006170438201601280138971392	`110309662016012729259384591453951189	"退款成功"	2016-01-28 14:57:04	130.00	0.00	`1006170438201601272925938459	`E2016012710221259536	1296288001		130.00	wxa9e5e7de9a850cea	odyFWsxLcDFBgec9b8lutTvyc5jE		原路退回
2016-01-28 11:19:23	`2007810438201601280138977925	`110309662016012729254110631453951163	"退款成功"	2016-01-28 14:58:49	38.00	0.00	`1007810438201601272925411063	`E2016012709515550189	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs_g8JxyZ1TdQ1t7241NOqBk		原路退回
2016-01-28 11:18:54	`2000770438201601280138967977	`110309662016012729234292961453951134	"退款成功"	2016-01-28 14:52:48	68.00	0.00	`1000770438201601272923429296	`E2016012706441919111	1296288001		68.00	wxa9e5e7de9a850cea	odyFWsw2nK2bVvPTLNMHw15lqbKk		原路退回
2016-01-28 11:18:08	`2009070438201601280138971789	`110309662016012629179504251453951088	"退款成功"	2016-01-28 14:58:07	130.00	0.00	`1009070438201601262917950425	`E2016012620471499242	1296288001		130.00	wxa9e5e7de9a850cea	odyFWs5Y2mr88mnz_L52ZSp7myf0		原路退回
2016-01-28 11:16:14	`2008810438201601280138977086	`110309662016012629179245951453950974	"退款成功"	2016-01-28 14:59:17	38.00	0.00	`1008810438201601262917924595	`E2016012620465146310	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs64GJSSSirxnL9VFJP6Nsdg		原路退回
2016-01-28 11:15:41	`2001970438201601280138971760	`110309662016012629137887121453950941	"退款成功"	2016-01-28 14:53:45	114.00	0.00	`1001970438201601262913788712	`E2016012617423329223	1296288001		114.00	wxa9e5e7de9a850cea	odyFWs6BCjuMS8xSFxAbn_Jsqm2M		原路退回
2016-01-28 11:15:11	`2008260438201601280138971350	`110309662016012629089622671453950911	"退款成功"	2016-01-28 12:42:29	114.00	0.00	`1008260438201601262908962267	`E2016012613310928282	1296288001		114.00	wxa9e5e7de9a850cea	odyFWs8S-nIGstSm1NAdx1up76fk		原路退回
2016-01-28 11:14:27	`2004010438201601280138970548	`110309662016012629029588621453950867	"退款成功"	2016-01-28 14:55:14	38.00	0.00	`1004010438201601262902958862	`E2016012607213495235	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs8riOGSeaN_4yRGeJBTI7l0		原路退回
2016-01-28 11:13:58	`2009050438201601280138970545	`110309662016012629015308621453950837	"退款成功"	2016-01-28 14:59:28	38.00	0.00	`1009050438201601262901530862	`E2016012600113261006	1296288001		38.00	wxa9e5e7de9a850cea	odyFWswR-Oshxto3QdKjI7ae1Fno		原路退回
2016-01-28 11:13:31	`2004860438201601280138973875	`110309662016012529008192281453950811	"退款成功"	2016-01-28 14:54:46	98.00	0.00	`1004860438201601252900819228	`E2016012523072124592	1296288001		98.00	wxa9e5e7de9a850cea	odyFWs89N838jsG5c0Vvkm7vuPGs		原路退回
2016-01-28 11:13:07	`2002440438201601280138973872	`110309662016012528960994151453950787	"退款成功"	2016-01-28 12:41:27	38.00	0.00	`1002440438201601252896099415	`E2016012518580197735	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsxlfxuPO65vFDADar2NFhHI		原路退回
